drift,vol,leverage,horizon_years,median_terminal,mean_terminal,median_cagr,mean_cagr,median_vol,median_sharpe,median_max_dd,worst_max_dd,prob_loss,prob_beat_1x,prob_dd_gt_50,prob_dd_gt_70,prob_dd_gt_90
0.0,0.2,3.0,1,0.8373139070418734,1.0157710706328058,-0.16268609295812664,0.01577107063280581,0.5987335415258956,-0.00014573629998902355,-0.512208433760543,-0.910373804245164,0.6095,0.3495,0.5225,0.12225,0.00125
0.0,0.2,1.0,3,0.9479732398791676,1.006440774289273,-0.0176520217592821,-0.01071766478740036,0.1998456499668697,0.010237155467848893,-0.33364793971848383,-0.7413268712254419,0.5605,0.0,0.1,0.002,0.0
0.0,0.2,1.25,3,0.9178161997019609,1.0073053472171278,-0.02818132820686764,-0.017540035553325915,0.24980706245858714,0.010237155467852234,-0.4029696830320418,-0.8186090468954164,0.578,0.35625,0.2425,0.0165,0.0
0.0,0.2,1.5,3,0.8818166538530914,1.0077597880473106,-0.04105706984323859,-0.025968327132989712,0.29976847495030456,0.010237155467852359,-0.46682248600392173,-0.8736628433177027,0.59475,0.342,0.4155,0.0575,0.0
0.0,0.2,2.0,3,0.7953835535594584,1.007174142222861,-0.07347133414520113,-0.047478178249845626,0.3996912999337394,0.010237155467851639,-0.5801679087931011,-0.9399555793424499,0.6275,0.311,0.69175,0.2215,0.005
0.0,0.2,2.5,3,0.6962905983236127,1.0040933984438465,-0.11366716687409767,-0.07484665863736321,0.4996141249171743,0.010237155467852269,-0.6742284074513286,-0.9722358094781258,0.658,0.27975,0.868,0.4365,0.037
0.0,0.2,3.0,3,0.5917969329490274,0.9978212448537056,-0.16042873320036743,-0.10756774729641505,0.5995369499006091,0.010237155467851814,-0.7507998627308128,-0.9875126943230146,0.689,0.249,0.944,0.61875,0.11175
0.0,0.2,1.0,5,0.9106045903574023,1.006595130578331,-0.018554999606030242,-0.014144816044999503,0.19990918349279835,0.006235062412511021,-0.41589996705679017,-0.8022620014330547,0.588,0.0,0.277,0.0205,0.0
0.0,0.2,1.25,5,0.862539132565374,1.007264015604941,-0.029141893782616557,-0.02258339180369014,0.24988647936599795,0.006235062412509922,-0.4959894290264555,-0.8716536297966473,0.60725,0.31675,0.48825,0.08975,0.0
0.0,0.2,1.5,5,0.8073502382257542,1.0074348996842752,-0.04189656864766922,-0.032902050380935195,0.29986377523919755,0.0062350624125100396,-0.5682397237813477,-0.9181594622895947,0.62925,0.29825,0.6815,0.20275,0.003
